,Epoch,TrainingLoss,ValidationLoss,ValidationDiceLoss,AUC_ROC,AUC_PR,TrainingTime
0,0.0,0.7589351336161295,0.6653717160224915,0.6653717160224915,0.8034790307283401,0.6010497063398361,
1,1.0,0.6130581647157669,0.5527453571557999,0.5527453571557999,0.8303242176771164,0.6544029265642166,
2,2.0,0.5211922551194826,0.4800676852464676,0.4800676852464676,0.8379802107810974,0.6307269781827927,
3,3.0,0.4666677936911583,0.4367097467184067,0.4367097467184067,0.8442459106445312,0.6057054549455643,
4,4.0,0.43036581575870514,0.4062754362821579,0.4062754362821579,0.865233764052391,0.5807605087757111,
5,5.0,0.4045301526784897,0.37882427871227264,0.37882427871227264,0.8977597653865814,0.5885209888219833,
6,6.0,0.38103877753019333,0.34981493651866913,0.34981493651866913,0.9245914220809937,0.61763596534729,
7,7.0,0.3586833079655965,0.3295432776212692,0.3295432776212692,0.926837757229805,0.5879538953304291,
8,8.0,0.34122053782145184,0.31391362845897675,0.31391362845897675,0.9309186190366745,0.5752067714929581,
9,9.0,0.3263573919733365,0.30042628943920135,0.30042628943920135,0.9305785596370697,0.5589929521083832,
10,10.0,0.3152693609396617,0.28894713521003723,0.28894713521003723,0.9380304515361786,0.5628374069929123,
11,11.0,0.30573297788699466,0.281039297580719,0.281039297580719,0.9403960406780243,0.555923119187355,
12,12.0,0.2966361790895462,0.2736370116472244,0.2736370116472244,0.9420955032110214,0.5478492230176926,
13,13.0,0.2884846329689026,0.26872192323207855,0.26872192323207855,0.9444490075111389,0.5452835038304329,
14,14.0,0.2819666862487793,0.26250991225242615,0.26250991225242615,0.947943851351738,0.544485867023468,
15,15.0,0.27667395273844403,0.25610749423503876,0.25610749423503876,0.9517616480588913,0.5405868291854858,
16,16.0,0.26959291597207385,0.2510875016450882,0.2510875016450882,0.9524726122617722,0.5382604897022247,
17,17.0,0.2637176290154457,0.2474234253168106,0.2474234253168106,0.9549435824155807,0.5360751152038574,
18,18.0,0.2578477958838145,0.2434576004743576,0.2434576004743576,0.9561707526445389,0.5373197197914124,
19,19.0,0.2527735059460004,0.23924501240253448,0.23924501240253448,0.956172451376915,0.5255618542432785,
20,20.0,0.24835331241289774,0.23562413454055786,0.23562413454055786,0.9558025300502777,0.5254940986633301,
21,21.0,0.2450808435678482,0.2328481376171112,0.2328481376171112,0.9564782083034515,0.5196895822882652,
22,22.0,0.2410177787144979,0.22854599356651306,0.22854599356651306,0.9571130275726318,0.5167683511972427,
23,23.0,0.23718069990475973,0.2274290770292282,0.2274290770292282,0.9563547372817993,0.5132067203521729,
24,24.0,0.2351675182580948,0.22303219139575958,0.22303219139575958,0.9582814276218414,0.5149862393736839,
25,25.0,0.231131282945474,0.2225085198879242,0.2225085198879242,0.9567148089408875,0.5036436915397644,
26,26.0,0.22946475446224213,0.22095656394958496,0.22095656394958496,0.95754174888134,0.5094842687249184,
27,27.0,0.22626090546449026,0.2175610512495041,0.2175610512495041,0.9572102129459381,0.5031162053346634,
28,28.0,0.2222878634929657,0.21518035233020782,0.21518035233020782,0.9585344344377518,0.5070999264717102,
29,29.0,0.2203964243332545,0.2144349068403244,0.2144349068403244,0.9571861028671265,0.4988228380680084,
30,30.0,0.21918963144222894,0.21259430050849915,0.21259430050849915,0.9575767517089844,0.4999571368098259,
31,31.0,0.21600602070490518,0.21119704842567444,0.21119704842567444,0.9574554264545441,0.4949926361441612,
32,32.0,0.21375884612401327,0.20931071043014526,0.20931071043014526,0.9572247862815857,0.48997092992067337,
33,33.0,0.21282138178745905,0.20767070353031158,0.20767070353031158,0.9586236029863358,0.48974645137786865,
34,34.0,0.21081972618897757,0.20638059079647064,0.20638059079647064,0.9574594050645828,0.48604723811149597,
35,35.0,0.2086812953154246,0.20490984618663788,0.20490984618663788,0.9580107182264328,0.4837368056178093,
36,36.0,0.20692922671635947,0.20330072939395905,0.20330072939395905,0.9577996879816055,0.4812597259879112,
37,37.0,0.20400673151016235,0.20248638093471527,0.20248638093471527,0.9579363316297531,0.4778739660978317,
38,38.0,0.2033173218369484,0.20215612649917603,0.20215612649917603,0.9568024277687073,0.472836896777153,
39,39.0,0.20210510243972143,0.20045366883277893,0.20045366883277893,0.9567316472530365,0.4727150872349739,
40,39.0,0.0,0.20045366883277893,0.0,0.0,0.0,0.0
